epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,376.722,1.40616,1.32288,1.5106,0.55402,0.68265,0.61623,0.338,1.62597,1.18657,1.73827,0.000848969,0.000848969,0.000848969
43,385.528,1.38094,1.28358,1.47916,0.62136,0.62206,0.64512,0.35555,1.55386,1.11197,1.62715,0.000834822,0.000834822,0.000834822
44,394.234,1.38646,1.30408,1.49938,0.59602,0.69905,0.66349,0.34643,1.47998,1.17623,1.56637,0.000820675,0.000820675,0.000820675
45,403.204,1.35794,1.2438,1.47438,0.5069,0.76667,0.66756,0.36772,1.54911,1.17034,1.61711,0.000806528,0.000806528,0.000806528
46,412.216,1.37333,1.26512,1.47965,0.4461,0.72484,0.61581,0.3451,1.57058,1.28236,1.59635,0.00079238,0.00079238,0.00079238
47,421.897,1.37439,1.27825,1.48803,0.64125,0.59967,0.64409,0.36496,1.47049,1.15621,1.5407,0.000778233,0.000778233,0.000778233
48,430.868,1.3959,1.29443,1.5205,0.64327,0.725,0.74463,0.36268,1.54384,1.18016,1.59984,0.000764086,0.000764086,0.000764086
49,440.078,1.35139,1.2612,1.48069,0.64791,0.80833,0.6969,0.34996,1.50279,1.19168,1.6437,0.000749939,0.000749939,0.000749939
50,449.028,1.38878,1.28136,1.49075,0.56529,0.80411,0.70571,0.36493,1.55919,1.13702,1.63574,0.000735792,0.000735792,0.000735792
51,457.757,1.33655,1.23802,1.46073,0.55861,0.70784,0.63285,0.36034,1.45583,1.10661,1.55254,0.000721645,0.000721645,0.000721645
52,466.335,1.3496,1.22088,1.45806,0.64926,0.82953,0.70202,0.38479,1.42732,1.12983,1.51124,0.000707498,0.000707498,0.000707498
53,474.895,1.34526,1.23304,1.4658,0.69558,0.74706,0.68717,0.38075,1.53261,1.07326,1.6261,0.000693351,0.000693351,0.000693351
54,483.684,1.33657,1.21998,1.44758,0.60202,0.80233,0.71445,0.37397,1.49529,1.20457,1.58478,0.000679204,0.000679204,0.000679204
55,492.609,1.34583,1.21962,1.45233,0.47074,0.66373,0.64545,0.33686,1.46113,1.18637,1.54015,0.000665057,0.000665057,0.000665057
56,501.544,1.32515,1.20098,1.44746,0.56864,0.77999,0.6766,0.38506,1.38403,1.04391,1.51544,0.000650909,0.000650909,0.000650909
57,510.336,1.34325,1.22178,1.46664,0.50621,0.70539,0.63863,0.37836,1.42405,1.02005,1.51472,0.000636762,0.000636762,0.000636762
58,519.368,1.33849,1.22146,1.4699,0.51687,0.76944,0.6167,0.36303,1.53468,1.11934,1.61254,0.000622615,0.000622615,0.000622615
59,528.287,1.36329,1.23035,1.47769,0.66448,0.7665,0.80645,0.43045,1.45349,1.07788,1.45437,0.000608468,0.000608468,0.000608468
60,537.152,1.32214,1.19198,1.45022,0.51813,0.74967,0.6597,0.38107,1.47414,1.02697,1.56173,0.000594321,0.000594321,0.000594321
61,546.127,1.32702,1.19359,1.45656,0.51185,0.88227,0.67246,0.38555,1.38477,1.01716,1.42244,0.000580174,0.000580174,0.000580174
62,554.957,1.32233,1.18012,1.43598,0.58732,0.77096,0.65279,0.36223,1.47406,1.05091,1.49205,0.000566027,0.000566027,0.000566027
63,563.847,1.31278,1.17845,1.44577,0.50029,0.87222,0.60671,0.33361,1.49456,1.15202,1.58455,0.00055188,0.00055188,0.00055188
64,572.655,1.32716,1.19989,1.46291,0.56087,0.74428,0.60369,0.34026,1.38638,1.14648,1.51029,0.000537733,0.000537733,0.000537733
65,581.248,1.28319,1.17648,1.43936,0.61072,0.71196,0.68093,0.40607,1.32791,1.1408,1.44335,0.000523586,0.000523586,0.000523586
66,590.013,1.30246,1.16478,1.44109,0.50018,0.85539,0.60494,0.34303,1.52527,1.17611,1.58984,0.000509438,0.000509438,0.000509438
67,598.858,1.2796,1.14976,1.42602,0.45973,0.72761,0.61332,0.35348,1.45746,1.14084,1.49759,0.000495291,0.000495291,0.000495291
68,607.831,1.32376,1.18612,1.44115,0.63413,0.71729,0.72042,0.38894,1.48307,1.05854,1.52398,0.000481144,0.000481144,0.000481144
69,616.821,1.29631,1.16457,1.43889,0.5425,0.82344,0.70793,0.4108,1.46682,1.07126,1.55056,0.000466997,0.000466997,0.000466997
70,625.822,1.27761,1.13812,1.41895,0.55592,0.73551,0.70784,0.39494,1.50725,1.11685,1.57624,0.00045285,0.00045285,0.00045285
71,634.701,1.30087,1.14487,1.42822,0.54926,0.88744,0.75992,0.4301,1.44192,1.00216,1.52074,0.000438703,0.000438703,0.000438703
72,643.777,1.27285,1.11789,1.4011,0.57741,0.76667,0.6996,0.40146,1.41131,0.97227,1.44564,0.000424556,0.000424556,0.000424556
73,652.669,1.27784,1.1057,1.41358,0.65888,0.71807,0.74882,0.43812,1.50928,1.01927,1.53988,0.000410409,0.000410409,0.000410409
74,662.291,1.26764,1.13281,1.41853,0.54568,0.81058,0.67039,0.38324,1.46797,1.08846,1.52568,0.000396262,0.000396262,0.000396262
75,671.714,1.2651,1.0988,1.40585,0.59098,0.79134,0.68811,0.35903,1.6551,1.15099,1.67694,0.000382115,0.000382115,0.000382115
76,680.778,1.25689,1.11356,1.41111,0.55111,0.70539,0.65681,0.36517,1.49677,1.0705,1.56237,0.000367967,0.000367967,0.000367967
77,690.217,1.26352,1.12949,1.41712,0.60548,0.7695,0.70541,0.38755,1.40957,1.05748,1.45431,0.00035382,0.00035382,0.00035382
78,700.233,1.27663,1.11628,1.42056,0.69348,0.77454,0.74923,0.43207,1.44954,0.99068,1.50697,0.000339673,0.000339673,0.000339673
79,710.023,1.24681,1.06683,1.39219,0.56386,0.64837,0.64012,0.30392,1.71021,1.17283,1.71997,0.000325526,0.000325526,0.000325526
80,719.733,1.27535,1.11399,1.40567,0.61878,0.78145,0.74423,0.41434,1.47674,1.00229,1.54081,0.000311379,0.000311379,0.000311379
81,729.638,1.26882,1.10838,1.40853,0.61122,0.72239,0.65169,0.35519,1.47051,1.17722,1.53173,0.000297232,0.000297232,0.000297232
82,739.493,1.26124,1.08043,1.41162,0.57538,0.76479,0.67634,0.3611,1.53186,1.16592,1.59548,0.000283085,0.000283085,0.000283085
83,749.133,1.24611,1.08754,1.39435,0.62092,0.82012,0.74106,0.39344,1.4811,1.14623,1.54009,0.000268938,0.000268938,0.000268938
84,758.834,1.24899,1.07726,1.38594,0.63703,0.64412,0.68565,0.38414,1.49432,1.03707,1.53793,0.000254791,0.000254791,0.000254791
85,768.606,1.20939,1.0713,1.37399,0.56295,0.82962,0.67457,0.40595,1.37545,1.00443,1.46804,0.000240644,0.000240644,0.000240644
86,779.055,1.24419,1.08259,1.39929,0.57886,0.77484,0.67116,0.38806,1.37042,1.00385,1.50693,0.000226497,0.000226497,0.000226497
87,789.174,1.25086,1.08601,1.3907,0.67884,0.78611,0.72765,0.40308,1.43867,1.0576,1.58044,0.000212349,0.000212349,0.000212349
88,799.268,1.22803,1.04828,1.37549,0.56993,0.78873,0.67504,0.39741,1.40285,1.02543,1.52025,0.000198202,0.000198202,0.000198202
89,809.127,1.24159,1.06429,1.38988,0.59999,0.7206,0.71806,0.42269,1.46003,1.06643,1.53008,0.000184055,0.000184055,0.000184055
90,818.806,1.24168,1.06627,1.38971,0.69076,0.8017,0.80045,0.47605,1.34385,0.96472,1.43497,0.000169908,0.000169908,0.000169908
91,842.737,1.21865,1.04537,1.41218,0.65191,0.85392,0.80153,0.47275,1.30572,0.9616,1.42332,0.000155761,0.000155761,0.000155761
92,852.338,1.19241,0.97667,1.3946,0.5866,0.82644,0.74285,0.42117,1.45629,0.99683,1.54589,0.000141614,0.000141614,0.000141614
93,862.066,1.18454,0.94468,1.38146,0.79857,0.68578,0.76221,0.43206,1.42168,1.04605,1.51007,0.000127467,0.000127467,0.000127467
94,871.918,1.15153,0.91131,1.36383,0.68836,0.82944,0.82051,0.45511,1.39571,1.04141,1.4443,0.00011332,0.00011332,0.00011332
95,881.69,1.135,0.88329,1.35178,0.63282,0.83039,0.72364,0.40667,1.45887,1.01592,1.53948,9.91726e-05,9.91726e-05,9.91726e-05
96,891.125,1.14438,0.89121,1.36721,0.61474,0.79924,0.72569,0.40419,1.47304,1.07493,1.56194,8.50255e-05,8.50255e-05,8.50255e-05
97,900.963,1.1472,0.88599,1.35613,0.6771,0.83039,0.79227,0.43759,1.4358,1.02624,1.52799,7.08784e-05,7.08784e-05,7.08784e-05
98,910.621,1.15292,0.90202,1.37381,0.66105,0.75076,0.78247,0.44175,1.43685,1.06337,1.53286,5.67313e-05,5.67313e-05,5.67313e-05
99,920.448,1.13194,0.88083,1.35713,0.77804,0.68317,0.79272,0.44196,1.41671,1.02588,1.52721,4.25842e-05,4.25842e-05,4.25842e-05
100,930.376,1.12703,0.86767,1.36146,0.65353,0.72572,0.77493,0.42128,1.45891,1.02268,1.54866,2.84371e-05,2.84371e-05,2.84371e-05
